Kod zavodu         : 130512069
Nazev zavodu       : Žebříček B - Čechy
Zarazeni do soutezi: 
Datum konani       : 12.05.2013
Misto konani       : Janov u Rakovníka
Poradatel          : DKL - KOB Kladno, SLA - SKOB Slaný
Mapa               : Liščí rokle
Reditel zavodu     : Zemková Helena
Hlavni rozhodci    : Hrdličková Ludmila
Stavitel trati     : Hanák Jan
JURY               : Konopáč Jiří, Procházka Zdenko, Richtr Aleš
Protokol           : Závod proběhl bez závad.
----------------------------------------------------------------------------
D10L      Mikesová Julie           VPM0455  29.48
D10L      Skáchová Viktorie        KAM0650  33.27
D10L      Jirkovská Magdaléna      SLA0550  34.50
D10L      Zemková Pavlína          SLA0551  35.18
D10L      Kopecká Valentyna        VSP0453  35.36
D10L      Kubcová Anna             DOB0550  41.42
D10L      Cechová Klára            SLA0552  43.39
D10L      Simsová Pavla            MFP0551  44.36
D10L      Mácová Stepánka          81C0650  52.00
D10C      Richtrová Kamila         VPM0451  23.56
D10C      Nádenícková Iva          NEJ0350  24.44
D10C      Jirkovská Katerina       SLA0350  25.22
D10C      Thynová Martina          SHK0350  28.05
D10C      Stanková Radka           VPM0452  29.01
D10C      Martanová Lea            VLI0555  32.42
D10C      Janecková Josefína       EKP0351  33.24
D10C      Hankovcová Helena        KAM0350  34.12
D10C      Ziebová Veronika         NEJ0450  35.10
D10C      Arnostová Veronika       DOR0455  36.16
D10C      Pracková Ema             MFP0451  40.39
D10C      Beranová Hana            VSP0455  42.11
D10C      Bartosová Marie          MLA0451  49.34
D10C      Safaríková Lucie         CST0351  63.03
D10C      Chvátilová Johana        PHK0450  73.41
D12C      Dolejsí Katerina         STB0199  23.31
D12C      Rydlová Adéla            TJN0151  25.52
D12C      Simsová Barbora          MFP0150  29.31
D12C      Safková Sofie            KAM0153  29.31
D12C      Martanová Elin           VLI0252  29.40
D12C      Skáchová Magdalena       KAM0151  29.50
D12C      Sanna Karin              DKP0250  31.35
D12C      Maresová Klára           NEJ0250  31.39
D12C      Fantová Katerina         EKP0256  32.28
D12C      Stanková Markéta         VPM0153  32.45
D12C      Sklíbová Mísa            TJN0153  34.06
D12C      Drzková Berenika         LPU0151  34.14
D12C      Jirkovská Michaela       SLA0150  38.30
D12C      Beranová Eva             VSP0254  39.27
D12C      Zlesáková Adéla          CHT0151  43.41
D12C      Geislerová Aneta         DKL0151  53.29
D12C      Vlachovská Zuzana        LME0150  81.37
D14B      Thynová Nikola           SHK0051  20.19
D14B      Chaloupská Barbora       PHK9951  20.58
D14B      Kalenská Dominika        STH9958  21.28
D14B      Peterová Jana            DOB0051  21.40
D14B      Jezdinská Natálie        STH9954  22.03
D14B      Vyhnálková Marie         MFP0151  22.23
D14B      Kováríková Marie         KAM0050  22.48
D14B      Hojná Eliska             SJH0052  23.09
D14B      Vetrícková Andrea        SHK9951  23.21
D14B      Zrníková Adéla           OSN0099  23.26
D14B      Kopecká Anna             LPU9958  23.37
D14B      Pavlíková Markéta        CHA0050  23.52
D14B      Kosová Tereza            SRK0151  23.54
D14B      Poloprutská Lucie        VLI9950  24.04
D14B      Biersaková Dagmar        KRL0051  24.28
D14B      Hanáková Lenka           KRL9951  24.29
D14B      Hápová Petra             PHK0051  24.49
D14B      Hrabánková Zuzana        PGP9950  25.16
D14B      Sokolárová Sárka         TUV9951  25.17
D14B      Sieglová Eliska          MFP9950  25.35
D14B      Aschermannová Karolína   KAM0051  26.10
D14B      Kubecová Katerina        STB9999  26.24
D14B      Riby Rose                LTP0051  26.28
D14B      Srenkelová Ilona         LPU9955  26.50
D14B      Tokárová Regina          NEJ0151  27.06
D14B      Sklíbová Veronika        SRK0153  27.41
D14B      Srámková Hana            MFP0051  27.50
D14B      Janousková Lucie         BOR9954  28.11
D14B      Albrechtová Iveta        KAM9950  28.26
D14B      Kalousková Marie         DKP0151  28.41
D14B      Nádenícková Pavla        NEJ0150  28.50
D14B      Slechtová Tereza         KRL0152  29.07
D14B      Nechanická Klára         OSN0050  29.17
D14B      Brozová Zuzana           LPU0053  29.43
D14B      Kolárová Johana          SLA9950  29.47
D14B      Straková Veronika        SLA0051  29.51
D14B      Illnerová Katerina       DKP9950  30.23
D14B      Vojtísková Viktorie      LPU0051  30.49
D14B      Kopecká Johana           VSP9950  31.17
D14B      Gallová Veronika         STH0053  32.24
D14B      Dedková Teodora          TAP0051  33.56
D14B      Voltrová Alena           ROZ9951  34.28
D14B      Ciháková Barbora         KNC9950  36.25
D14B      Pohoralá Anna            ROU9954  36.34
D14B      Sedlácková Linda         ROZ0050  46.26
D14B      Koucká Barbora           EKP0050 888.88
D14B      Wanková Martina          VRL9951 888.88
D16B      Kohoutová Barbora        BOR9850  30.15
D16B      Poloprutská Klára        VLI9750  32.49
D16B      Roskotová Lucie          TUR9753  33.52
D16B      Simunková Gabriela       TAP9755  36.19
D16B      Petrácková Kristyna      SJI9851  36.23
D16B      Kohlová Monika           TUR9756  37.55
D16B      Dundácková Julie         SJH9853  38.05
D16B      Poláková Katerina        TAP9854  38.05
D16B      Vacková Anna             SJI9854  38.13
D16B      Doubková Petra           VLI9853  38.16
D16B      Poláková Tereza          TAP9853  38.26
D16B      Kroupová Eliska          VPM9853  38.59
D16B      Stefanyuková Eliska      CST9851  40.20
D16B      Voltrová Hana            ROZ9752  40.29
D16B      Repiská Amálie           MFP9851  41.12
D16B      Hlinovská Johana         VPM9751  41.35
D16B      Mikesová Adéla           VPM9852  42.19
D16B      Parkanová Veronika       SJH9751  44.02
D16B      Nováková Adéla           OKP9750  45.49
D16B      Safrhansová Lucie        VPM9753  45.55
D16B      Obytová Katerina         VPM9752  47.47
D16B      Mikulásová Martina       PGP9852  48.06
D16B      Kavalírová Julie         PHK9753  61.50
D16B      Kopecká Eliska           KNC9850 888.88
D16B      Nováková Lucie           BOR9854 888.88
D18B      Zandová Marcela          SKV9653  32.25
D18B      Valisová Martina         OSN9696  34.29
D18B      Hanusová Michaela        TUR9554  34.55
D18B      Kucerová Barbora         LBE9650  36.51
D18B      Rafajová Anna            SLA9550  38.52
D18B      Lavicková Michaela       KRL9655  50.54
D18B      Kubicková Bára           SJH9551  52.04
D18B      Sádková Lucie            PHK9654  54.54
D20B      Krivancová Zdenka        LBE9450  34.20
D20B      Teplá Barbora            SJI9351  46.05
D20B      Mikulásová Helena        PGP9353 888.88
D21B      Kilarská Marcela         VSP7151  40.26
D21B      Spurná Martina           PGP8556  40.38
D21B      Smidrkalová Monika       NPA9051  43.18
D21B      Smolková Katerina        PGP8852  43.57
D21B      Folbrechtová Sárka       BOR9051  44.25
D21B      Svobodová Jitka          DCE7450  45.04
D21B      Kasková Katerina         CHA7850  45.42
D21B      Horová Magda             VSP5450  45.54
D21B      Zamazalová Katerina      TAP9053  46.01
D21B      Smutná Pavla             VAM8651  46.25
D21B      Matrasová Katerina       CHT8353  46.32
D21B      Mechlová Lenka           SHK9051  46.48
D21B      Jezková Dominika         PGP9053  47.37
D21B      Kozinová Jana            PGP6651  47.43
D21B      Sedlácková Martina       TUR7959  48.03
D21B      Nováková Katerina        OKP9450  48.06
D21B      Peterová Vera            DOB8751  48.24
D21B      Ulahelová Jana           LTU8451  49.21
D21B      Soukupová Lucie          SJC8951  49.32
D21B      Zurynková Jana           EKP7053  49.39
D21B      Hofmanová Michaela       LPM7751  50.26
D21B      Spicarová Michaela       SJC8754  50.42
D21B      Sákrová Michaela         BOR8850  51.37
D21B      Peterová Alena           DOB8953  52.20
D21B      Puchernová Zuzana        TAP8453  52.50
D21B      Novotná Martina          PHK8255  53.00
D21B      Písová Monika            NPA8151  53.06
D21B      Horácková Katerina       VLI8150  53.19
D21B      Burdová Adéla            LDC9152  53.28
D21B      Knoblochová Kamila       VRL8353  53.31
D21B      Nedbalová Jana           MFP8050  53.42
D21B      Králová Michaela         CTB7959  54.49
D21B      Stoková Mariana          DKP8158  55.43
D21B      Borovicková Lenka        FSP7350  56.08
D21B      Kamererová Klára         KAM9154  56.26
D21B      Skáchová Petra           SLP7051  57.01
D21B      Zoubková Jana            ZBP8050  57.07
D21B      Gregorová Katerina       BSO8151  58.46
D21B      Koppová Ingrid           SLP7960  58.49
D21B      Posseltová Tereza        TJN9252  59.18
D21B      Pokorná Kristyna         EKP8351  59.53
D21B      Henychová Zuzana         VLI6151  60.13
D21B      Budínová Radka           CHT7951  61.44
D21B      Albrechtová Eva          KAM7850  61.55
D21B      Purschová Tereza         BSO8156  66.16
D21B      Uhrová Zuzana            VSP8050  67.33
D21B      Janecková Dagmar         EKP6550  68.56
D21B      Tauchmanová Ivana        NPA7852  70.01
D21B      Karasová Jana            FSP6153  71.46
D21B      Hradecká Petra           DOK6850  73.55
D21B      Neradová Eva             LIT8951 888.88
D21C      Reznícková Tereza        SJI9056  37.34
D21C      Karbanová Vendula        DKP8350  41.12
D21C      Drzková Markéta          LPU7670  43.08
D21C      Kalinová Markéta         EKP8259  46.37
D21C      Synková Petra            DOK7950  46.53
D21C      Zajícová Markéta         TAP9054  47.21
D21C      Chaloupková Marie        SLP8151  52.58
D21C      Seidlová Barbora         EKP7955  60.27
D21C      Oujeská Lenka            ZBP7652  62.26
D21C      Rydlová Eva              FSP8989  69.54
D21C      Mágrová Ivana            LCV5550  73.25
D21C      Siblíková Jana           SLP7952  74.29
D35B      Rysavá Magdalena         PGP7650  26.21
D35B      Mestková Katerina        VSP7650  29.35
D35B      Skorpilová Jana          SJC7451  29.37
D35B      Gajdová Magdalena        KAM7450  30.13
D35B      Hasmanová Lenka          VPM7551  30.14
D35B      Pokorná Magdaléna        PGP7562  30.24
D35B      Zakourilová Helena       VSP7453  31.58
D35B      Simsová Jana             MFP7651  32.01
D35B      Samková Renáta           PHK7456  32.25
D35B      Pachnerová Dominika      CHA7750  33.24
D35B      Arnostová Katerina       VSP7652  33.24
D35B      Nechanická Daniela       OSN7557  34.15
D35B      Janovská Petra           PGP7355  34.42
D35B      Brettlová Marta          PGP7557  35.04
D35B      Kucerová Marie           VSP7551  35.56
D35B      Sklíbová Jana            SRK7651  39.31
D35B      Simková Markéta          LME7755  41.24
D35B      Martanová Daniela        VLI7452  41.35
D35B      Smolková Alena           PGP6450  42.35
D35B      Dolejsí Lenka            STB7499  42.55
D35B      Pelcová Pavla            CST7454  42.59
D35B      Richtrová Lucie          VPM7451  45.16
